,Article Headlines,Article URLs,Keywords,Similarity Weights
0,"Supreme Court signals it may uphold Biden’s regulations on ‘ghost gun’ kits|||Supreme Court signals support for Biden administration regulation of 'ghost gun' kits|||What’s at stake in the Supreme Court ghost gun case being heard TuesdayA U.S. judge in Texas ruled the Biden administration exceeded its authority in requiring serial numbers, sales records and background checks for ghost guns.By Justin JouvenalOctober 7, 2024|||Majority of Supreme Court Appears Receptive to Biden Administration Limits on ‘Ghost Guns’",https://www.cnn.com/2024/10/08/politics/supreme-court-ghost-guns/index.html|||https://www.foxnews.com/politics/supreme-court-signals-support-biden-administration-regulation-ghost-gun-kits|||https://www.washingtonpost.com/politics/2024/10/07/ghost-gun-case-supreme-court/|||https://www.nytimes.com/2024/10/08/us/ghost-guns-supreme-court.html,administration|||biden|||court|||ghost|||gun|||kit|||regulation|||supreme,1.8635401278734207
1,"Trump and Harris’ proposals would both increase the national debt but Trump’s plan would add $4 trillion more, study finds|||Harris says wealthy Americans, corporations will pay higher taxes to fund economic plan|||Trump would add twice as much to national debt as Harris, study finds|||Trump’s Plans Could Increase U.S. Debt While Raising Costs for Most Americans",https://www.cnn.com/2024/10/07/politics/debt-harris-trump-proposals/index.html|||https://www.foxnews.com/media/harris-says-wealthy-americans-corporations-will-pay-higher-taxes-to-fund-economic-plan|||https://www.washingtonpost.com/business/2024/10/07/trump-harris-national-debt/|||https://www.nytimes.com/2024/10/07/us/politics/trump-economic-plans-debt-costs.html,americans|||debt|||harris|||national|||plan|||study|||trump,1.6380200386047363
2,"Biden says Israel shouldn’t strike Iranian nuclear sites, but US officials recognize it has a right to respond to attack|||Biden says he would not back Israeli strike on Iran's nuclear sites|||White House vows consequences for Iran’s attack on Israel|||Washington Worries the Israelis Will Bomb Iran’s Nuclear Sites. But Can They?",https://www.cnn.com/2024/10/02/politics/biden-israel-iran-response/index.html|||https://www.foxnews.com/politics/biden-says-he-would-not-back-israeli-strike-irans-nuclear-sites|||https://www.washingtonpost.com/national-security/2024/10/01/iran-israel-biden/|||https://www.nytimes.com/2024/10/07/us/politics/israel-iran-nuclear-facilities-strikes.html,biden|||iran|||israel|||nuclear|||site,1.5744587928056717
3,"Massive Israeli airstrikes hit 120 targets in Lebanon. See video of explosion in Beirut|||Israeli military kills 250 Hezbollah terrorists since start of limited ground operation in Lebanon|||As Israel escalates in Lebanon, U.S. influence is limitedSeptember 30|||Israel Sends More Soldiers Into Lebanon as Strikes Hit Beirut and Damascus",https://www.cnn.com/2024/10/08/world/video/israel-airstrikes-lebanon-targets-digvid|||https://www.foxnews.com/world/israeli-military-kills-250-hezbollah-terrorists-since-start-limited-ground-operation-lebanon|||https://www.washingtonpost.com/national-security/2024/09/30/us-israel-lebanon-hezbollah/|||https://www.nytimes.com/2024/10/08/world/middleeast/israel-lebanon-gaza-syria.html,beirut|||israel|||israeli|||lebanon,1.4766232520341873
4,Promises Kamala Harris has made so far in her campaign|||Kamala Harris’ support with Arab and Muslim communities in Michigan is ‘tenuous’: Democratic strategist|||Comparing where Kamala Harris and Donald Trump stand on key policy positionsUpdated September 17|||Kamala Harris Is Turning a Trump Tactic on Its Head,https://www.cnn.com/interactive/2024/08/politics/kamala-harris-key-issues-dg/|||https://www.foxnews.com/media/kamala-harris-support-arab-muslim-communities-michigan-tenuous-democratic-strategist|||https://www.washingtonpost.com/politics/interactive/2023/presidential-candidates-2024-policies-issues/|||https://www.nytimes.com/2024/10/06/opinion/kamala-harris-donald-trump-security.html,harris|||kamala|||trump,1.4751361906528473
5,"Fact check: Six days of Trump lies about the Hurricane Helene response|||Trump addresses criticism he's politicizing Hurricane Helene: 'Anything I do, they'll say, oh, it's political'|||Helene response hampered by misinformation, conspiracy theories|||What Trump and Vance Want From Hurricane Helene",https://www.cnn.com/2024/10/06/politics/fact-check-trump-helene-response-north-carolina/index.html|||https://www.foxnews.com/media/trump-addresses-criticism-hes-politicizing-helene-anything-i-do-theyll-say-oh-its-political|||https://www.washingtonpost.com/weather/2024/10/05/hurricane-helene-conspiracy-theories-rumors/|||https://www.nytimes.com/2024/10/08/opinion/helene-trump-vance-fema.html,helene|||hurricane|||response|||trump,1.4425858408212662
6,"Hezbollah publicly endorses Lebanon ceasefire efforts for the first time as Israel ramps up offensive|||1 year after Hezbollah strikes, Israel reinforces troops and questions mount over ‘limited’ operation|||As Israel escalates in Lebanon, U.S. influence is limited|||What We Know About the Israeli Forces Fighting in Lebanon",https://www.cnn.com/2024/10/08/middleeast/hezbollah-endorses-lebanon-ceasefire-first-time-israel-war-intl/index.html|||https://www.foxnews.com/politics/one-year-after-hezbollah-strikes-israel-reinforces-troops-questions-mount-over-limited-operation|||https://www.washingtonpost.com/national-security/2024/09/30/us-israel-lebanon-hezbollah/|||https://www.nytimes.com/2024/10/08/world/middleeast/israel-military-lebanon.html,hezbollah|||israel|||lebanon|||limited,1.44011789560318
7,"How to help Hurricane Helene victims|||Those suffering from Hurricane Helene's impact get help from Rev. Franklin Graham and Samaritan's Purse|||About 100 rescued animals from Hurricane Helene find shelter in VirginiaTwo local organizations, Homeward Trails and District Dogs, partnered to care for the animals while they await adoption.By Afia BarrieOctober 5, 2024|||Asheville, Tampa and Lessons From Hurricane Helene",https://www.cnn.com/us/how-to-help-helene-storm-victims-iyw/index.html|||https://www.foxnews.com/lifestyle/franklin-graham-samaritans-purse-help-suffering-hurricane-helene|||https://www.washingtonpost.com/dc-md-va/2024/10/05/helene-rescued-animals-dc-va/|||https://www.nytimes.com/2024/10/08/opinion/hurricane-helene.html,animal|||helene|||hurricane,1.4373077899217606
8,"Israel marks the anniversary of October 7 terror attacks with tears and anger|||One-year anniversary of Oct. 7 attacks arrives with lasting trauma for Israelis, American Jews: expert|||White House vows consequences for Iran’s attack on IsraelUpdated October 1|||Tuesday Briefing: Israelis and Palestinians Mourn a Year of Loss",https://www.cnn.com/2024/10/07/middleeast/israel-anniversary-october-7-hamas-attacks-intl-latam/index.html|||https://www.foxnews.com/politics/one-year-anniversary-oct-7-attacks-arrives-lasting-trauma-israelis-american-jews-expert|||https://www.washingtonpost.com/national-security/2024/10/01/iran-israel-biden/|||https://www.nytimes.com/2024/10/07/briefing/oct-7-anniversary-harris-lifespan.html,anniversary|||attack|||israelis|||october|||year,1.3868466764688492
9,Trump ramps up politicization around storm relief ahead of Hurricane Milton|||Biden admin's response to Hurricane Milton could be 'huge potential problem' for Harris campaign: CNN guest|||What is making Hurricane Milton so ferocious|||Biden Warns Floridians to ‘Evacuate Now’ as He Postpones Foreign Trip Over Hurricane Milton,https://www.cnn.com/2024/10/07/politics/video/trump-ramps-up-politicization-around-storm-relief-ahead-of-hurricane-milton|||https://www.foxnews.com/media/biden-admins-response-hurricane-milton-could-huge-potential-problem-harris-campaign-cnn-guest|||https://www.washingtonpost.com/climate-environment/interactive/2024/hurricane-milton-helene-marine-heat-wave-storms/|||https://www.nytimes.com/2024/10/08/us/politics/biden-trip-hurricane-milton.html,biden|||hurricane|||milton,1.3613664507865906
